DROP,%UNWEIGHTED ILI
1455,0.397351
1456,0.909418
1457,2.27273
1458,0.363103
1459,0.643902
1460,0.667842
1461,0.795948
1462,0.677083
1463,0.0310849
1464,0
1465,0.908842
1466,2.08333
1467,0.207055
1468,0.623952
1469,0.521201
1470,0.681549
1471,0.417335
1472,0.0665115
1473,0
1474,1.00216
1475,2.20157
1476,0.215567
1477,0.57181
1478,0.567987
1479,0.694375
1480,0.562784
1481,0.137127
1482,0
1483,0.963259
1484,2.07254
1485,0.258873
1486,0.527784
1487,0.382739
1488,0.845845
1489,0.346701
1490,0.0951022
1491,0
1492,1.05962
1493,1.79261
1494,0.714586
1495,1.29966
1496,1.46232
1497,0.867525
1498,1.17464
1499,1.05021
1500,0.17103
1501,1.37479
1502,1.3914
1503,0.469154
1504,1.53623
1505,1.71257
1506,0.717
1507,1.17098
1508,1.00204
1509,0.188257
1510,1.44933
1511,1.48805
1512,0.405581
1513,1.40729
1514,1.50539
1515,0.817715
1516,1.17379
1517,0.974258
1518,0.320171
1519,1.2037
1520,1.28007
1521,0.545317
1522,1.59639
1523,1.5994
1524,0.798944
1525,1.1893
1526,0.958009
1527,0.461467
1528,1.45731
1529,1.97752
1530,0.560757
1531,1.43861
1532,1.66721
1533,0.929466
1534,1.24614
1535,1.01022
1536,0.710951
1537,1.58446
1538,1.88063
1539,0.488515
1540,1.60106
1541,1.73894
1542,1.10975
1543,1.38866
1544,1.08155
1545,1.18059
1546,1.69699
1547,1.5904
1548,0.425573
1549,1.56675
1550,1.81246
1551,1.12031
1552,1.3155
1553,1.11933
1554,0.780608
1555,1.68778
1556,1.68269
1557,0.459746
1558,1.47095
1559,1.60808
1560,1.06037
1561,1.43216
1562,0.81007
1563,1.04116
1564,1.5663
1565,1.60712
1566,0.664251
1567,1.81623
1568,1.87357
1569,1.08427
1570,1.80822
1571,0.781669
1572,0.790374
1573,1.33457
1574,1.60114
1575,0.592108
1576,1.73417
1577,1.6491
1578,1.1199
1579,1.34557
1580,0.840027
1581,1.046
1582,1.09123
1583,1.33938
1584,0.565836
1585,1.58829
1586,1.78089
1587,1.09457
1588,1.22228
1589,1.16613
1590,2.12018
1591,0.909371
1592,1.65272
1593,0.663217
1594,1.80935
1595,1.94261
1596,1.37509
1597,1.62333
1598,1.18821
1599,4.85248
1600,1.12331
1601,2.05826
1602,0.710952
1603,1.8878
1604,2.78029
1605,2.28188
1606,2.25265
1607,1.75589
1608,3.52436
1609,1.52283
1610,3.30291
1611,0.70735
1612,1.66071
1613,2.73696
1614,2.13876
1615,1.98175
1616,3.15765
1617,4.18321
1618,1.18971
1619,2.96875
1620,0.5542
1621,1.4978
1622,2.0279
1623,1.50222
1624,1.40815
1625,1.83204
1626,2.83558
1627,1.4475
1628,2.83819
1629,0.970328
1630,2.02488
1631,2.22429
1632,2.02987
1633,1.48635
1634,2.33214
1635,3.46549
1636,1.37921
1637,3.14076
1638,1.14289
1639,1.9992
1640,3.53351
1641,2.84735
1642,2.26448
1643,3.38533
1644,5.71269
1645,1.39084
1646,2.89381
1647,1.37654
1648,2.07262
1649,4.2255
1650,2.82256
1651,2.91162
1652,4.24715
1653,5.17216
1654,1.95667
1655,3.01102
1656,2.16136
1657,2.92408
1658,4.51678
1659,2.2636
1660,3.19271
1661,4.41365
1662,3.77916
1663,2.35877
1664,4.18764
1665,2.4086
1666,2.95359
1667,3.95588
1668,1.66229
1669,3.45923
1670,3.22773
1671,3.30964
1672,2.49246
1673,3.92731
1674,2.28548
1675,2.93535
1676,3.78698
1677,1.60745
1678,3.16944
1679,3.86029
1680,1.33333
1681,2.71745
1682,4.61981
1683,1.87995
1684,1.971
1685,2.89806
1686,1.85164
1687,2.34798
1688,1.78343
1689,0.935686
1690,2.44741
1691,4.14762
1692,1.52388
1693,1.17824
1694,2.18777
1695,1.62206
1696,2.01057
1697,2.01228
1698,2.14195
1699,1.96881
1700,3.75477
1701,1.34355
1702,1.64125
1703,1.74742
1704,1.35899
1705,1.82922
1706,1.24853
1707,0.954068
1708,1.91592
1709,3.45666
1710,0.763506
1711,1.5413
1712,1.60764
1713,1.19338
1714,1.76064
1715,0.992063
1716,0.813517
1717,1.56221
1718,4.12388
1719,0.573817
1720,1.35347
1721,1.13229
1722,0.993806
1723,1.62946
1724,1.29253
1725,0.440728
1726,1.12471
1727,2.66947
1728,0.481912
1729,1.32971
1730,1.17283
1731,0.852219
1732,1.24009
1733,1.7898
1734,0.485496
1735,0.85348
1736,2.10077
1737,0.353781
1738,1.35222
1739,0.875868
1740,0.80429
1741,1.35863
1742,1.69193
1743,0.496562
1744,1.08863
1745,1.66384
1746,0.37013
1747,0.918915
1748,0.747285
1749,0.738007
1750,1.10367
1751,1.32325
1752,0.559636
1753,0.702066
1754,1.30484
1755,0.332118
1756,0.938617
1757,0.719329
1758,0.684839
1759,1.33856
1760,1.51029
1761,0.33475
1762,0.544917
1763,1.41649
1764,0.323189
1765,0.692042
1766,0.484206
1767,0.639644
1768,0.96451
1769,1.21951
1770,0.288264
1771,0.478247
1772,0.747198
1773,0.337316
1774,0.787226
1775,0.44396
1776,0.545139
1777,1.28397
1778,0.892381
1779,0.20185
1780,0.377813
1781,0.78143
1782,0.233328
1783,1.09811
1784,0.561222
1785,0.819132
1786,0.674071
1787,0.889558
1788,0.19774
1789,0.391409
1790,0.859466
1791,0.138563
1792,0.607287
1793,0.374146
1794,0.440798
1795,1.11378
1796,1.34148
1797,1.2696
1798,1.28988
1799,0.784676
1800,0.150063
1801,1.12676
1802,0.378318
1803,0.863963
1804,0.818187
1805,1.30874
1806,1.22982
1807,1.2107
1808,0.579897
1809,0.0657549
1810,0.892857
1811,0.346786
1812,0.59761
1813,0.649573
1814,1.52683
1815,0.884956
1816,1.3295
1817,0.924784
1818,0.0962067
1819,0.949288
1820,0.33668
1821,0.490943
1822,0.958084
1823,1.82953
1824,0.747283
1825,1.1555
1826,0.640809
1827,0.244569
1828,0.767649
1829,0.2097
1830,0.395053
1831,0.784706
1832,0.918555
1833,0.602864
1834,0.790514
1835,0.647668
1836,0.139392
1837,0.54076
1838,0.297265
1839,0.40493
1840,0.814579
1841,0.649606
1842,1.31291
1843,1.33431
1844,0.287711
1845,0.107083
1846,0.448783
1847,0.273723
1848,0.443097
1849,0.632187
1850,0.242277
1851,0.475059
1852,1.1431
1853,0.632244
1854,0.121599
1855,0.680128
1856,0.245896
1857,0.527081
1858,0.700309
1859,1.01573
1860,0.668896
1861,1.12704
1862,0.607441
1863,0.106854
1864,0.461148
1865,0.147266
1866,0.491029
1867,0.635844
1868,1.41972
1869,0.92827
1870,0.746479
