DROP,REGION,YEAR,WEEK
996,6,2000,50
997,7,2000,50
998,8,2000,50
999,0,2000,51
1000,1,2000,51
1001,2,2000,51
1002,3,2000,51
1003,4,2000,51
1004,5,2000,51
1005,6,2000,51
1006,7,2000,51
1007,8,2000,51
1008,0,2000,52
1009,1,2000,52
1010,2,2000,52
1011,3,2000,52
1012,4,2000,52
1013,5,2000,52
1014,6,2000,52
1015,7,2000,52
1016,8,2000,52
1017,0,2001,1
1018,1,2001,1
1019,2,2001,1
1020,3,2001,1
1021,4,2001,1
1022,5,2001,1
1023,6,2001,1
1024,7,2001,1
1025,8,2001,1
1026,0,2001,2
1027,1,2001,2
1028,2,2001,2
1029,3,2001,2
1030,4,2001,2
1031,5,2001,2
1032,6,2001,2
1033,7,2001,2
1034,8,2001,2
1035,0,2001,3
1036,1,2001,3
1037,2,2001,3
1038,3,2001,3
1039,4,2001,3
1040,5,2001,3
1041,6,2001,3
1042,7,2001,3
1043,8,2001,3
1044,0,2001,4
1045,1,2001,4
1046,2,2001,4
1047,3,2001,4
1048,4,2001,4
1049,5,2001,4
1050,6,2001,4
1051,7,2001,4
1052,8,2001,4
1053,0,2001,5
1054,1,2001,5
1055,2,2001,5
1056,3,2001,5
1057,4,2001,5
1058,5,2001,5
1059,6,2001,5
1060,7,2001,5
1061,8,2001,5
1062,0,2001,6
1063,1,2001,6
1064,2,2001,6
1065,3,2001,6
1066,4,2001,6
1067,5,2001,6
1068,6,2001,6
1069,7,2001,6
1070,8,2001,6
1071,0,2001,7
1072,1,2001,7
1073,2,2001,7
1074,3,2001,7
1075,4,2001,7
1076,5,2001,7
1077,6,2001,7
1078,7,2001,7
1079,8,2001,7
1080,0,2001,8
1081,1,2001,8
1082,2,2001,8
1083,3,2001,8
1084,4,2001,8
1085,5,2001,8
1086,6,2001,8
1087,7,2001,8
1088,8,2001,8
1089,0,2001,9
1090,1,2001,9
1091,2,2001,9
1092,3,2001,9
1093,4,2001,9
1094,5,2001,9
1095,6,2001,9
1096,7,2001,9
1097,8,2001,9
1098,0,2001,10
1099,1,2001,10
1100,2,2001,10
1101,3,2001,10
1102,4,2001,10
1103,5,2001,10
1104,6,2001,10
1105,7,2001,10
1106,8,2001,10
1107,0,2001,11
1108,1,2001,11
1109,2,2001,11
1110,3,2001,11
1111,4,2001,11
1112,5,2001,11
1113,6,2001,11
1114,7,2001,11
1115,8,2001,11
1116,0,2001,12
1117,1,2001,12
1118,2,2001,12
1119,3,2001,12
1120,4,2001,12
1121,5,2001,12
1122,6,2001,12
1123,7,2001,12
1124,8,2001,12
1125,0,2001,13
1126,1,2001,13
1127,2,2001,13
1128,3,2001,13
1129,4,2001,13
1130,5,2001,13
1131,6,2001,13
1132,7,2001,13
1133,8,2001,13
1134,0,2001,14
1135,1,2001,14
1136,2,2001,14
1137,3,2001,14
1138,4,2001,14
1139,5,2001,14
1140,6,2001,14
1141,7,2001,14
1142,8,2001,14
1143,0,2001,15
1144,1,2001,15
1145,2,2001,15
1146,3,2001,15
1147,4,2001,15
1148,5,2001,15
1149,6,2001,15
1150,7,2001,15
1151,8,2001,15
1152,0,2001,16
1153,1,2001,16
1154,2,2001,16
1155,3,2001,16
1156,4,2001,16
1157,5,2001,16
1158,6,2001,16
1159,7,2001,16
1160,8,2001,16
1161,0,2001,17
1162,1,2001,17
1163,2,2001,17
1164,3,2001,17
1165,4,2001,17
1166,5,2001,17
1167,6,2001,17
1168,7,2001,17
1169,8,2001,17
1170,0,2001,18
1171,1,2001,18
1172,2,2001,18
1173,3,2001,18
1174,4,2001,18
1175,5,2001,18
1176,6,2001,18
1177,7,2001,18
1178,8,2001,18
1179,0,2001,19
1180,1,2001,19
1181,2,2001,19
1182,3,2001,19
1183,4,2001,19
1184,5,2001,19
1185,6,2001,19
1186,7,2001,19
1187,8,2001,19
1188,0,2001,20
1189,1,2001,20
1190,2,2001,20
1191,3,2001,20
1192,4,2001,20
1193,5,2001,20
1194,6,2001,20
1195,7,2001,20
1196,8,2001,20
1197,0,2001,40
1198,1,2001,40
1199,2,2001,40
1200,3,2001,40
1201,4,2001,40
1202,5,2001,40
1203,6,2001,40
1204,7,2001,40
1205,8,2001,40
1206,0,2001,41
1207,1,2001,41
1208,2,2001,41
1209,3,2001,41
1210,4,2001,41
1211,5,2001,41
1212,6,2001,41
1213,7,2001,41
1214,8,2001,41
1215,0,2001,42
1216,1,2001,42
1217,2,2001,42
1218,3,2001,42
1219,4,2001,42
1220,5,2001,42
1221,6,2001,42
1222,7,2001,42
1223,8,2001,42
1224,0,2001,43
1225,1,2001,43
1226,2,2001,43
1227,3,2001,43
1228,4,2001,43
1229,5,2001,43
1230,6,2001,43
1231,7,2001,43
1232,8,2001,43
1233,0,2001,44
1234,1,2001,44
1235,2,2001,44
1236,3,2001,44
1237,4,2001,44
1238,5,2001,44
1239,6,2001,44
1240,7,2001,44
1241,8,2001,44
1242,0,2001,45
1243,1,2001,45
1244,2,2001,45
1245,3,2001,45
1246,4,2001,45
1247,5,2001,45
1248,6,2001,45
1249,7,2001,45
1250,8,2001,45
1251,0,2001,46
1252,1,2001,46
1253,2,2001,46
1254,3,2001,46
1255,4,2001,46
1256,5,2001,46
